ID,Municipio,IPM Municipal
15047,AQUITANIA,33.5
15051,ARCABUCO,24.8
15087,BELÉN,25.2
15090,BERBEO,40.5
15092,BETÉITIVA,43.3
15097,BOAVITA,48.1
15104,BOYACÁ,39.7
15106,BRICEÑO,48.5
15109,BUENAVISTA,44.9
15114,BUSBANZÁ,31.3
15131,CALDAS,43.7
15135,CAMPOHERMOSO,52.3
15162,CERINZA,29.4
15172,CHINAVITA,41.1
15176,CHIQUINQUIRÁ,17.3
15180,CHISCAS,60.1
15183,CHITA,69.1
15185,CHITARAQUE,46.4
15187,CHIVATÁ,42.3
15189,CIÉNEGA,40.5
15204,CÓMBITA,36.1
15212,COPER,38.8
15215,CORRALES,26.6
15218,COVARACHÍA,55.6
15223,CUBARÁ,69.7
15224,CUCAITA,25.9
15226,CUÍTIVA,40.7
15232,CHÍQUIZA,51.3
15236,CHIVOR,45.8
15238,DUITAMA,10.5
15244,EL COCUY,49.4
15248,EL ESPINO,31.3
15272,FIRAVITOBA,21.7
15276,FLORESTA,43.9
15293,GACHANTIVÁ,51.2
15296,GÁMEZA,43.7
15299,GARAGOA,20.3
15317,GUACAMAYAS,30.4
15322,GUATEQUE,19.4
15325,GUAYATÁ,36.1
15332,GÜICÁN DE LA SIERRA,48.1
15362,IZA,24.8
15367,JENESANO,38.8
15368,JERICÓ,64.7
15377,LABRANZAGRANDE,57.4
15380,LA CAPILLA,31.6
15401,LA VICTORIA,38.4
15403,LA UVITA,41.9
15407,VILLA DE LEYVA,15.2
15425,MACANAL,28.9
15442,MARIPÍ,67.0
15455,MIRAFLORES,21.1
15464,MONGUA,50.7
15466,MONGUÍ,28.8
15469,MONIQUIRÁ,27.1
15476,MOTAVITA,49.8
15480,MUZO,40.7
15491,NOBSA,10.5
15494,NUEVO COLÓN,46.2
15500,OICATÁ,22.8
15507,OTANCHE,44.7
15511,PACHAVITA,37.5
15514,PÁEZ,36.5
15516,PAIPA,16.2
15518,PAJARITO,27.8
15522,PANQUEBA,42.7
15531,PAUNA,47.4
15533,PAYA,68.2
15537,PAZ DE RÍO,21.6
15542,PESCA,39.3
15550,PISBA,57.9
15572,PUERTO BOYACÁ,33.6
15580,QUÍPAMA,64.6
15599,RAMIRIQUÍ,31.4
