ID,Municipio,Analfabetismo,,,Bajo logro educativo,,,Barreras a servicios para cuidado de la primera infancia,,,Barreras de acceso a servicios de salud,,,Tasa de dependencia,,,Hacinamiento crítico,,,Inadecuada eliminación de excretas,,,Inasistencia escolar,,,Material inadecuado de paredes exteriores,,,Material inadecuado de pisos,,,Rezago escolar,,,Sin acceso a fuente de agua mejorada,,,Sin aseguramiento en salud,,,Trabajo infantil,,,Trabajo informal,,
,,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso,Total,Cabeceras,Centros poblados y rural disperso
05051,ARBOLETES,24.5,15.9,30.1,68.3,47.1,82.2,3.4,1.8,4.5,5.2,6.0,4.7,50.4,44.8,54.0,13.9,15.5,12.9,30.1,10.0,43.3,4.3,2.4,5.6,9.1,22.0,0.6,56.0,16.8,81.8,27.5,15.9,35.1,43.2,2.7,69.9,16.1,17.3,15.3,1.2,0.6,1.6,90.7,87.5,92.9
05055,ARGELIA,18.9,13.1,24.6,77.4,64.6,90.0,2.1,1.4,2.7,4.3,6.5,2.2,35.9,41.0,30.9,5.3,6.3,4.4,46.0,14.3,77.4,7.3,3.6,11.0,2.1,2.1,2.0,2.6,0.3,5.0,19.2,16.1,22.2,35.9,8.3,63.2,10.0,11.8,8.2,4.8,2.2,7.3,91.3,85.7,96.8
05059,ARMENIA,28.7,20.0,34.1,79.0,65.2,87.5,1.1,1.0,1.1,1.8,2.8,1.1,36.1,36.7,35.7,2.3,2.3,2.3,22.6,4.5,33.8,2.0,1.2,2.6,0.1,0.2,0.0,0.6,0.3,0.8,18.1,14.3,20.4,24.6,0.5,39.4,7.5,10.2,5.9,0.8,0.3,1.0,86.0,83.5,87.5
05079,BARBOSA,10.6,7.8,13.0,56.5,41.9,68.4,1.4,1.2,1.6,2.3,2.6,2.1,25.1,25.8,24.5,3.8,4.9,2.9,14.8,6.5,21.7,3.6,2.0,4.8,0.5,0.5,0.4,1.3,0.3,2.1,12.4,12.2,12.5,23.0,4.6,38.0,15.7,16.7,14.9,1.0,0.7,1.2,78.0,74.4,81.0
05086,BELMIRA,15.5,9.9,18.1,69.9,50.7,79.0,1.6,0.6,2.1,5.4,4.4,6.0,32.7,27.7,35.1,7.8,8.5,7.5,20.7,1.6,29.9,4.6,2.2,5.8,0.3,0.4,0.2,1.9,0.0,2.7,25.1,20.6,27.3,42.5,2.0,61.8,14.9,13.5,15.6,4.0,3.6,4.2,81.4,73.9,85.1
05088,BELLO,4.4,4.1,11.4,36.5,35.4,60.9,1.8,1.7,2.6,2.8,2.8,2.4,25.4,24.8,39.3,5.6,5.6,5.9,5.5,4.6,25.1,2.8,2.7,5.2,1.4,1.5,0.5,0.7,0.5,4.9,13.2,13.0,18.5,5.6,4.5,30.2,19.2,19.3,17.4,0.5,0.5,0.9,72.7,72.4,79.2
05091,BETANIA,23.9,20.1,26.8,80.3,65.7,91.6,2.0,1.2,2.6,7.2,3.9,9.8,34.5,35.5,33.7,6.7,8.2,5.5,36.7,2.2,63.1,6.3,3.0,8.8,1.7,0.9,2.3,0.9,0.1,1.5,28.4,21.6,33.5,43.0,0.5,75.6,14.2,14.6,13.9,3.7,1.2,5.6,90.6,87.1,93.4
05093,BETULIA,28.0,21.2,30.9,82.8,68.0,89.1,1.5,0.6,1.9,7.4,7.8,7.2,32.9,31.5,33.6,6.1,9.0,4.9,47.7,12.4,62.9,8.1,4.1,9.9,0.4,0.4,0.4,5.1,0.6,7.0,25.7,20.8,27.8,28.6,3.8,39.3,9.7,9.4,9.9,4.8,2.2,5.9,92.2,87.4,94.2
05101,CIUDAD BOLÍVAR,20.3,16.9,27.2,71.6,62.8,89.4,1.2,0.8,2.0,3.8,4.1,3.1,31.2,29.9,33.6,6.4,7.2,4.9,25.5,11.1,54.2,5.1,3.6,8.1,0.4,0.3,0.5,1.2,0.2,3.0,22.4,18.1,31.1,20.6,0.8,60.1,12.9,13.5,11.6,2.3,1.6,3.8,83.7,81.1,88.9
05107,BRICEÑO,22.8,17.0,27.3,78.1,59.8,92.5,2.9,1.6,3.9,9.2,8.1,10.0,42.8,43.2,42.5,8.9,10.4,7.6,37.0,3.4,63.2,7.8,4.1,10.6,1.6,1.3,1.8,6.9,1.3,11.2,29.8,26.5,32.4,39.5,6.5,65.4,8.9,7.8,9.7,2.8,1.5,3.8,85.7,79.6,90.5
05113,BURITICÁ,21.2,9.9,26.0,79.0,58.1,87.8,2.4,2.0,2.6,8.7,3.5,10.9,40.3,30.7,44.3,12.6,18.2,10.2,22.3,1.2,31.2,12.9,4.6,16.5,1.4,4.1,0.2,14.4,1.1,20.1,22.1,13.5,25.7,13.0,0.3,18.3,15.1,22.0,12.1,2.8,1.1,3.6,83.2,77.5,85.5
05120,CÁCERES,31.0,25.2,32.4,81.2,72.8,83.3,4.4,2.1,4.9,9.7,9.1,9.8,46.2,50.2,45.2,16.5,23.6,14.8,35.9,42.6,34.3,8.3,5.2,9.1,10.2,20.8,7.6,41.6,17.3,47.5,33.5,36.7,32.7,43.6,8.7,52.1,14.5,12.4,15.0,3.1,1.1,3.6,93.2,92.3,93.4
05125,CAICEDO,22.6,8.8,27.0,80.0,46.6,90.7,1.3,1.8,1.1,14.6,5.6,17.5,35.6,41.0,33.9,6.9,10.4,5.7,53.1,4.9,68.6,6.6,2.5,7.9,0.5,1.3,0.2,22.6,1.6,29.4,27.3,13.7,31.6,23.9,0.7,31.3,7.6,14.2,5.5,5.1,0.4,6.6,93.3,85.1,96.0
05129,CALDAS,6.3,4.8,12.7,44.5,40.2,62.3,1.5,1.4,2.1,4.5,3.9,7.0,19.6,18.6,23.8,4.3,4.4,3.7,10.1,1.7,45.1,3.0,2.7,4.4,0.2,0.1,0.5,0.3,0.0,1.2,14.1,13.1,18.3,5.0,0.6,23.6,18.1,18.5,16.6,0.5,0.4,0.9,66.9,66.5,68.6
05134,CAMPAMENTO,27.3,18.6,32.1,83.9,64.4,94.9,1.7,1.3,1.9,3.4,2.0,4.2,35.1,37.8,33.5,9.1,8.3,9.6,58.7,7.1,87.6,10.0,3.7,13.6,0.8,0.4,1.1,7.1,0.1,11.0,32.3,19.6,39.4,42.7,1.3,66.0,9.4,11.3,8.3,7.4,2.5,10.1,91.1,85.1,94.4
05138,CAÑASGORDAS,19.4,10.0,25.1,72.0,52.7,83.6,1.8,1.3,2.2,4.1,3.6,4.4,40.9,34.1,45.1,9.1,7.9,9.9,35.3,12.4,49.1,7.1,2.0,10.2,1.5,0.6,2.1,11.7,0.9,18.3,16.0,12.6,18.1,29.9,7.6,43.4,9.6,12.0,8.1,2.1,1.3,2.7,89.4,83.4,93.0
05142,CARACOLÍ,17.9,15.1,22.8,74.1,64.7,90.5,1.4,0.8,2.4,1.5,1.2,2.2,26.3,24.9,28.8,4.7,5.4,3.3,50.8,37.6,73.9,3.3,2.1,5.3,0.6,0.7,0.4,3.5,0.3,9.0,14.2,11.4,19.1,20.6,4.0,49.7,11.3,10.8,12.3,1.2,0.8,1.8,84.7,81.7,89.9
05145,CARAMANTA,15.6,11.9,19.1,75.8,59.7,90.9,0.8,0.3,1.3,2.2,3.8,0.8,32.4,34.9,30.1,4.8,6.2,3.4,16.6,3.1,29.3,4.1,0.8,7.1,0.6,0.4,0.8,0.6,0.1,1.0,16.0,8.6,23.0,21.2,0.3,40.9,7.7,9.3,6.1,2.0,0.3,3.7,85.7,81.7,89.5
05147,CAREPA,14.7,12.4,20.5,56.8,51.5,70.2,2.6,2.4,3.1,0.9,0.9,0.8,38.4,37.5,40.8,14.8,15.2,13.8,7.8,6.0,12.4,6.8,6.8,6.8,7.1,9.5,1.1,9.8,5.1,21.8,23.5,21.9,27.5,20.8,4.7,61.4,14.6,15.3,12.9,1.5,1.2,2.2,76.3,77.8,72.6
05148,EL CARMEN DE VIBORAL,9.4,6.6,14.0,48.2,38.4,64.0,2.3,1.9,2.9,6.5,5.4,8.3,21.2,19.4,24.3,4.9,5.2,4.5,2.8,1.5,5.1,3.7,2.7,5.2,0.1,0.1,0.1,0.1,0.0,0.3,22.6,21.8,23.9,5.3,0.2,13.7,14.9,15.6,13.8,1.7,1.1,2.6,69.1,67.0,72.6
05150,CAROLINA,11.4,10.2,16.1,54.8,50.9,69.3,0.9,0.2,3.6,0.6,0.7,0.4,34.0,34.3,32.8,5.9,6.1,5.5,3.7,2.1,9.9,1.6,1.3,2.9,0.5,0.4,0.7,1.1,0.4,3.6,12.1,10.5,18.2,14.0,0.3,65.0,14.4,14.8,13.1,0.7,0.5,1.5,75.1,75.1,75.2
05154,CAUCASIA,16.3,14.6,29.1,55.9,52.5,80.2,2.3,2.1,4.1,2.9,2.8,3.6,37.9,36.5,48.4,17.8,18.0,16.1,13.7,9.5,44.8,4.8,4.6,6.2,10.8,11.0,9.2,13.8,8.5,53.0,23.3,22.7,27.9,8.2,6.0,23.8,13.8,14.0,12.6,1.2,1.2,1.8,87.7,87.4,90.2
05172,CHIGORODÓ,18.1,15.8,30.9,59.5,55.9,79.6,2.6,2.4,3.7,4.9,5.5,1.8,39.3,38.0,46.7,14.5,14.0,17.0,8.9,3.5,39.3,6.0,5.4,9.6,6.0,6.7,2.0,6.9,4.2,22.0,23.0,21.3,32.4,14.0,7.7,49.4,17.6,18.0,15.8,1.6,1.5,2.5,80.5,80.1,82.6
05190,CISNEROS,10.0,9.0,17.5,60.2,57.0,82.5,1.1,1.1,1.5,1.3,1.4,0.7,38.3,38.6,36.2,5.4,5.6,3.7,35.3,30.5,68.6,3.3,2.4,9.7,3.0,3.4,0.0,0.7,0.6,1.5,11.0,10.0,18.0,34.5,30.9,60.1,12.6,12.7,12.5,0.7,0.5,2.5,82.7,81.8,89.3
05197,COCORNÁ,18.8,13.0,23.1,75.0,60.3,85.8,1.3,1.3,1.2,5.4,4.0,6.4,41.5,36.6,45.1,5.8,7.6,4.5,20.3,1.4,34.1,4.1,2.0,5.6,0.4,0.1,0.6,1.0,0.0,1.8,17.9,16.4,19.0,31.6,3.9,52.1,9.6,9.8,9.3,2.3,1.6,2.9,85.8,80.6,89.6
05206,CONCEPCIÓN,14.5,10.2,18.2,72.8,57.8,86.2,1.4,1.5,1.4,1.7,3.0,0.5,30.3,30.3,30.3,5.4,5.6,5.3,5.1,4.4,5.7,2.5,0.9,3.9,0.1,0.2,0.1,0.4,0.0,0.7,11.3,8.4,13.8,44.9,2.4,83.1,10.0,13.1,7.2,1.5,0.6,2.3,85.2,78.9,90.8
05209,CONCORDIA,29.6,20.6,37.4,80.4,66.5,92.7,1.3,0.9,1.6,2.0,3.4,0.8,39.0,46.3,32.6,5.4,6.8,4.2,24.5,1.1,45.1,5.4,2.7,7.7,0.8,0.9,0.7,2.5,0.2,4.6,21.9,16.9,26.3,32.5,1.9,59.2,10.6,11.5,9.7,2.7,1.0,4.1,88.2,85.6,90.5
05212,COPACABANA,5.4,4.4,9.8,36.2,32.3,53.0,1.3,1.3,1.4,4.5,4.1,6.1,19.8,19.6,21.1,3.7,3.8,3.1,5.0,2.9,14.5,1.9,1.8,2.3,0.2,0.2,0.2,0.3,0.1,1.1,15.1,14.8,16.2,4.2,0.9,18.6,16.2,16.7,14.0,0.6,0.5,1.0,70.5,70.5,70.2
05234,DABEIBA,32.6,19.9,42.6,76.1,58.1,90.3,5.1,1.5,7.9,2.6,2.6,2.5,40.7,32.1,47.3,18.2,12.2,22.9,42.7,5.7,71.8,9.8,3.6,14.6,13.1,7.0,17.8,15.7,4.3,24.7,30.3,19.6,38.7,48.0,4.5,82.2,15.5,13.3,17.3,4.4,2.3,6.0,92.1,87.0,96.2
05237,DONMATÍAS,6.8,4.9,13.6,59.8,53.4,83.4,2.1,2.0,2.1,0.7,0.2,2.6,24.6,21.7,35.2,4.8,4.6,5.5,9.1,0.4,41.5,4.5,3.7,7.5,0.0,0.0,0.1,0.2,0.0,0.8,15.9,14.6,20.6,13.0,0.2,60.2,14.8,14.9,14.5,2.3,2.2,2.8,80.2,79.4,83.1
05240,EBÉJICO,22.5,7.2,26.2,79.3,48.2,86.7,1.0,0.5,1.1,6.4,5.9,6.5,34.1,28.9,35.4,3.8,4.5,3.7,26.1,4.2,31.4,2.6,0.7,3.1,1.0,0.3,1.1,6.5,1.5,7.6,19.3,10.7,21.3,9.4,0.9,11.4,11.4,13.2,10.9,1.1,0.4,1.3,85.9,79.1,87.6
05250,EL BAGRE,23.1,17.2,33.5,69.1,59.2,86.3,3.6,2.6,5.4,2.7,3.2,1.9,43.0,41.8,45.2,19.6,19.7,19.4,41.3,36.0,50.5,8.9,7.4,11.7,10.6,10.9,10.2,24.3,8.8,51.5,29.0,25.4,35.3,18.8,8.9,36.0,14.8,13.1,17.7,2.9,2.0,4.4,91.7,88.8,96.8
05264,ENTRERRÍOS,5.6,4.0,8.0,55.6,40.9,78.2,2.3,1.5,3.4,5.5,5.9,5.0,26.5,22.2,33.1,3.7,4.5,2.4,14.5,1.8,34.1,4.4,3.5,5.6,0.1,0.2,0.0,0.3,0.2,0.5,19.5,16.0,24.9,14.8,0.6,36.5,15.1,13.9,17.1,2.2,1.4,3.4,68.5,67.5,70.0
05266,ENVIGADO,2.0,1.9,3.4,19.4,19.0,28.2,1.0,0.9,1.7,1.5,1.4,3.6,15.6,15.7,13.3,1.8,1.8,1.3,0.6,0.2,8.2,1.6,1.5,2.7,0.0,0.0,0.1,0.0,0.0,0.2,8.3,8.3,8.9,0.9,0.1,17.0,17.0,17.0,15.1,0.2,0.2,0.3,62.4,62.1,69.0
05282,FREDONIA,16.5,12.0,19.5,72.4,56.0,83.7,1.3,1.1,1.4,0.8,0.6,1.0,29.3,29.7,29.1,4.3,5.9,3.1,16.3,3.8,24.9,3.1,2.5,3.4,1.0,0.5,1.3,3.0,0.3,4.9,15.4,12.7,17.3,16.5,2.5,26.1,20.5,22.1,19.5,1.0,0.5,1.3,78.4,79.8,77.5
05284,FRONTINO,24.2,11.2,35.6,71.7,52.1,88.7,4.3,1.8,6.5,1.8,2.7,1.1,38.2,32.4,43.2,14.3,7.1,20.6,42.1,2.5,76.6,8.6,2.3,14.1,10.7,1.7,18.5,6.6,0.9,11.5,26.0,15.2,35.5,27.7,1.1,50.9,12.9,11.5,14.1,3.8,1.1,6.1,90.7,84.8,95.8
05306,GIRALDO,12.2,6.9,15.5,69.3,54.4,78.8,1.4,0.9,1.7,0.9,2.1,0.2,35.3,35.5,35.1,8.1,10.5,6.5,31.0,10.2,44.2,5.4,5.0,5.6,0.2,0.2,0.2,4.3,1.2,6.2,17.5,17.1,17.8,8.4,3.4,11.6,10.5,13.0,8.9,3.0,2.4,3.3,84.7,78.7,88.6
05308,GIRARDOTA,6.6,4.8,9.1,42.4,31.7,56.9,1.7,1.3,2.2,3.5,3.8,3.2,22.7,20.6,25.4,3.8,3.7,4.0,6.4,0.6,14.2,2.4,1.6,3.3,0.1,0.0,0.3,0.6,0.0,1.4,12.6,11.7,13.9,9.0,0.2,20.7,13.4,13.7,13.0,0.6,0.3,1.0,69.4,66.6,73.1
05310,GÓMEZ PLATA,11.9,7.4,17.2,70.0,58.6,83.2,1.1,1.1,1.2,6.2,3.1,9.6,32.2,32.8,31.6,5.3,5.1,5.6,21.1,3.9,41.0,3.1,1.5,4.9,0.8,0.1,1.6,3.8,0.1,8.1,19.7,17.2,22.5,26.0,1.5,54.2,10.9,10.9,10.9,1.7,0.7,2.9,81.1,78.2,84.4
05313,GRANADA,14.4,12.6,17.0,78.3,69.0,91.4,2.1,1.9,2.3,3.7,3.5,4.1,34.3,39.6,26.7,8.6,9.9,6.7,15.2,4.7,29.9,5.4,2.9,9.0,2.5,4.2,0.1,0.3,0.1,0.6,19.3,17.9,21.2,13.7,4.4,26.8,8.4,9.9,6.4,3.8,1.8,6.5,84.4,78.5,92.7
