,,Privaciones Municipios,,,,,,,,,,,,,,
ID,Municipio,Analfabetismo,Bajo logro educativo,Barreras a servicios para cuidado de la primera infancia,Barreras de acceso a servicios de salud,Tasa de dependencia,Hacinamiento crítico,Inadecuada eliminación de excretas,Inasistencia escolar,Material inadecuado de paredes exteriores,Material inadecuado de pisos,Rezago escolar,Sin acceso a fuente de agua mejorada,Sin aseguramiento en salud,Trabajo infantil,Trabajo informal
05234,DABEIBA,32.6,76.1,5.1,2.6,40.7,18.2,42.7,9.8,13.1,15.7,30.3,48.0,15.5,4.4,92.1
05237,DONMATÍAS,6.8,59.8,2.1,0.7,24.6,4.8,9.1,4.5,0.0,0.2,15.9,13.0,14.8,2.3,80.2
05240,EBÉJICO,22.5,79.3,1.0,6.4,34.1,3.8,26.1,2.6,1.0,6.5,19.3,9.4,11.4,1.1,85.9
05250,EL BAGRE,23.1,69.1,3.6,2.7,43.0,19.6,41.3,8.9,10.6,24.3,29.0,18.8,14.8,2.9,91.7
05264,ENTRERRÍOS,5.6,55.6,2.3,5.5,26.5,3.7,14.5,4.4,0.1,0.3,19.5,14.8,15.1,2.2,68.5
05266,ENVIGADO,2.0,19.4,1.0,1.5,15.6,1.8,0.6,1.6,0.0,0.0,8.3,0.9,17.0,0.2,62.4
05282,FREDONIA,16.5,72.4,1.3,0.8,29.3,4.3,16.3,3.1,1.0,3.0,15.4,16.5,20.5,1.0,78.4
05284,FRONTINO,24.2,71.7,4.3,1.8,38.2,14.3,42.1,8.6,10.7,6.6,26.0,27.7,12.9,3.8,90.7
05306,GIRALDO,12.2,69.3,1.4,0.9,35.3,8.1,31.0,5.4,0.2,4.3,17.5,8.4,10.5,3.0,84.7
05308,GIRARDOTA,6.6,42.4,1.7,3.5,22.7,3.8,6.4,2.4,0.1,0.6,12.6,9.0,13.4,0.6,69.4
05310,GÓMEZ PLATA,11.9,70.0,1.1,6.2,32.2,5.3,21.1,3.1,0.8,3.8,19.7,26.0,10.9,1.7,81.1
05313,GRANADA,14.4,78.3,2.1,3.7,34.3,8.6,15.2,5.4,2.5,0.3,19.3,13.7,8.4,3.8,84.4
05315,GUADALUPE,21.3,74.5,1.0,0.6,37.7,7.0,32.8,4.0,0.6,3.2,21.7,35.8,9.1,1.7,80.2
05318,GUARNE,7.2,46.3,1.6,1.6,24.4,3.6,6.5,2.1,0.3,0.8,16.7,10.3,16.3,0.8,72.6
05321,GUATAPÉ,4.5,46.3,1.1,3.0,25.8,3.2,1.2,2.3,0.1,0.1,8.7,2.7,14.8,0.7,77.8
05347,HELICONIA,19.2,77.1,1.0,6.8,32.7,4.9,26.5,2.8,0.7,0.9,18.4,8.8,13.7,1.7,80.4
05353,HISPANIA,18.9,69.8,1.6,4.1,35.1,5.3,16.3,3.8,0.1,0.3,17.5,23.8,14.6,2.0,79.1
05360,ITAGÜÍ,4.1,33.8,1.5,3.0,19.1,4.4,1.0,2.1,0.2,0.1,12.7,1.1,19.2,0.5,69.0
05361,ITUANGO,29.1,77.1,2.8,6.4,39.2,10.0,39.5,8.3,2.4,20.1,30.0,38.0,10.6,4.7,89.3
05364,JARDÍN,12.7,65.3,1.1,1.8,27.2,4.1,16.2,4.0,1.4,1.6,14.0,19.8,12.6,2.7,85.8
05368,JERICÓ,14.8,66.8,1.0,2.3,30.2,4.1,6.3,2.6,0.5,0.2,11.2,14.1,14.1,1.2,80.0
05376,LA CEJA,5.7,42.9,1.4,2.1,18.2,4.2,1.7,2.4,0.1,0.1,14.3,5.9,13.8,0.8,65.3
05380,LA ESTRELLA,4.9,33.3,1.4,2.3,16.1,4.1,2.4,2.1,0.1,0.3,11.9,0.8,16.9,0.5,65.5
05390,LA PINTADA,19.6,67.0,1.3,4.3,23.8,14.7,25.6,4.6,2.8,1.0,16.9,3.8,16.4,1.2,73.1
05400,LA UNIÓN,10.5,65.8,1.4,5.3,23.3,5.3,5.6,4.1,0.1,0.2,21.7,14.1,12.4,2.9,78.9
05411,LIBORINA,16.9,73.6,1.0,9.4,42.0,6.1,35.7,3.0,0.2,1.4,20.7,12.8,8.1,1.3,89.6
05425,MACEO,17.4,72.3,1.6,3.4,30.2,6.3,30.4,4.4,1.3,4.9,22.8,21.1,10.5,2.3,84.3
05440,MARINILLA,5.7,47.5,1.7,3.2,25.9,5.6,1.5,3.4,0.1,0.2,17.7,1.1,15.4,1.3,74.5
05467,MONTEBELLO,16.9,79.8,1.2,5.6,33.3,5.1,16.0,3.8,1.1,1.4,18.3,34.1,10.7,1.5,86.3
05475,MURINDÓ,35.6,72.0,8.2,4.3,55.3,24.7,82.7,18.3,63.9,2.0,51.4,93.9,22.2,5.4,89.0
05480,MUTATÁ,27.1,73.1,4.3,6.3,39.0,16.6,27.0,9.5,14.6,16.0,32.1,39.8,15.9,3.7,89.2
05483,NARIÑO,23.3,82.9,1.5,3.7,34.4,4.9,46.3,7.5,0.4,1.0,22.5,50.5,7.5,5.8,90.9
05490,NECOCLÍ,22.4,68.2,3.6,7.5,50.1,13.3,35.0,9.5,8.2,46.5,30.0,64.0,14.5,2.3,91.5
05495,NECHÍ,20.6,73.6,3.4,9.7,38.7,17.8,76.8,8.5,22.7,47.8,28.9,18.0,13.0,3.3,93.3
05501,OLAYA,21.3,74.9,1.3,0.8,34.0,5.1,13.7,2.4,0.9,3.5,15.9,5.3,15.1,1.5,87.0
05541,PEÑOL,7.8,63.5,1.2,1.8,31.3,4.9,7.7,3.1,0.2,1.2,12.9,7.0,11.6,1.8,83.3
05543,PEQUE,30.8,79.9,2.2,3.5,32.5,13.7,19.2,8.3,0.2,16.2,29.7,16.3,10.3,6.8,90.6
05576,PUEBLORRICO,21.8,77.9,0.7,2.3,36.9,5.2,28.8,4.9,1.1,1.1,23.2,36.7,8.7,2.1,89.3
05579,PUERTO BERRÍO,14.9,59.0,1.7,3.5,31.1,12.3,24.0,4.1,14.4,4.1,17.7,4.9,14.7,1.3,79.2
05585,PUERTO NARE,17.0,67.2,2.1,5.9,37.1,6.1,13.3,5.4,2.2,2.8,17.0,11.7,14.1,1.2,81.9
05591,PUERTO TRIUNFO,16.1,63.5,2.6,1.3,30.5,8.3,3.6,6.4,1.4,1.7,24.0,3.6,16.2,2.8,79.0
05604,REMEDIOS,18.6,71.8,2.8,1.5,34.0,9.5,41.7,7.8,6.5,10.3,27.8,19.0,12.0,3.2,80.7
05607,RETIRO,6.7,42.3,1.5,1.4,16.5,2.9,1.2,2.7,0.1,0.2,13.7,11.3,13.8,0.8,64.9
05615,RIONEGRO,4.0,35.5,1.4,1.4,22.8,3.9,0.9,3.8,0.1,0.2,14.1,0.5,14.4,0.6,68.1
05628,SABANALARGA,18.3,79.1,1.7,3.1,47.9,13.5,43.4,8.1,0.3,14.3,20.6,24.0,11.9,3.2,91.7
05631,SABANETA,2.3,18.3,1.1,2.9,14.7,1.4,0.3,1.0,0.0,0.0,7.6,0.2,15.3,0.2,58.7
05642,SALGAR,26.2,81.9,1.5,5.5,28.6,4.7,43.3,6.8,0.9,3.4,23.6,43.6,12.2,4.1,87.5
05647,SAN ANDRÉS DE CUERQUÍA,13.1,73.7,2.9,1.6,38.3,8.9,41.6,12.0,0.8,3.9,25.4,44.4,12.2,4.3,83.9
05649,SAN CARLOS,14.8,68.8,1.7,5.1,38.7,4.2,5.2,4.6,1.0,2.0,16.3,11.2,11.6,1.7,86.1
05652,SAN FRANCISCO,26.3,77.1,1.4,14.2,39.7,7.6,16.2,5.2,0.8,3.5,24.4,26.8,8.3,2.5,85.3
05656,SAN JERÓNIMO,14.2,62.1,1.2,1.7,32.6,7.3,17.0,4.1,0.6,4.1,16.7,15.9,15.5,1.0,82.0
05658,SAN JOSÉ DE LA MONTAÑA,8.3,64.6,2.0,6.2,33.9,6.7,25.6,4.9,0.0,0.2,25.0,20.9,12.5,4.6,77.8
05659,SAN JUAN DE URABÁ,22.4,69.1,3.6,0.6,54.5,16.0,34.9,7.7,15.9,52.1,29.2,60.4,12.8,2.0,92.0
05660,SAN LUIS,14.2,67.1,1.6,2.6,35.2,6.6,14.9,5.6,0.5,1.6,18.9,27.8,9.7,2.3,82.1
05664,SAN PEDRO DE LOS MILAGROS,6.7,46.6,1.8,0.8,33.7,5.3,6.0,2.4,0.1,0.2,13.0,12.4,17.0,1.2,75.0
05665,SAN PEDRO DE URABÁ,24.0,71.4,2.5,2.4,48.8,17.8,38.6,6.8,10.5,58.9,29.1,44.8,14.0,1.9,92.3
05667,SAN RAFAEL,15.9,66.4,1.3,7.7,35.1,5.7,16.8,3.3,0.8,3.5,18.4,31.7,12.7,2.2,83.1
